StationID,Longitude,Latitude,City,Cluster
1350A,113.352,22.9477,,
1351A,113.215,23.3917,,
1352A,113.26,23.1331,,
1353A,113.568,23.2783,,
1354A,113.281,23.1569,,
1355A,113.589,23.5538,,
1356A,114.096,22.55,,
1357A,114.117,22.5625,,
1358A,113.987,22.5417,,
1359A,113.923,22.5167,,
1360A,114.263,22.5908,,
1361A,114.24,22.7267,,
1362A,113.891,22.5794,,
1363A,114.494,22.5422,,
1364A,114.41,22.6342,,
1365A,114.297,22.5978,,
1366A,114.085,22.75,,
1367A,113.574,22.2611,,
1368A,113.495,22.2294,,
1369A,113.628,22.4251,,
1370A,113.299,22.2281,,
1371A,113.134,23.0048,,
1372A,113.105,23.0395,,
1373A,113.144,23.0467,,
1374A,113.292,22.8054,,
1375A,113.257,22.7629,,
1376A,112.844,22.8693,,
1377A,112.885,23.1572,,
1378A,112.863,23.1886,,
1379A,113.3769,22.5211,,
1380A,113.3881,22.5497,,
1381A,113.4075,22.5111,,
1382A,113.4411,22.4853,,
1383A,113.104,22.6069,,
1384A,113.074,22.5811,,
1385A,113.024,22.5328,,
1386A,113.0819,22.5931,,
1387A,113.7819444,23.05361111,,
1388A,113.7461111,23.02777778,,
1389A,113.7480556,23.06,,
1390A,113.7944444,23.01277778,,
1391A,113.7383333,22.96583333,,
1392A,114.4183,23.0528,,
1393A,114.4053,23.08,,
1394A,114.4103,23.1142,,
1395A,114.3244,22.8172,,
1396A,114.5317,22.7422,,
1397A,112.427,23.0706,,
1398A,112.471,23.0528,,
1399A,112.565,23.1617,,
1400A,112.4722,23.0786,,
1401A,108.301,22.7875,,
1402A,108.316,22.8561,,
1403A,108.321,22.8225,,
1404A,108.383,22.805,,
1405A,108.439,22.7906,,
1406A,108.239,22.8464,,
1407A,108.328,22.735,,
1408A,108.244,22.7833,,
1409A,110.576,19.9507,,
1410A,110.3232,20.0574,,
1411A,110.283,20.0053,,
1412A,110.338,19.9969,,
1413A,110.33,20.0356,,
1414A,106.379,29.8272,,
1415A,106.46,29.5736,,
1416A,106.424,29.8264,,
1417A,106.626,29.7228,,
1418A,106.296,29.5983,,
1419A,106.54,29.5186,,
1420A,106.65,29.6219,,
1421A,106.634,29.4892,,
1422A,106.364,29.4822,,
1423A,106.571,29.5642,,
1424A,106.512,29.5164,,
1425A,106.617,29.7125,,
1426A,106.468,29.4892,,
1427A,106.562,29.6453,,
1428A,106.452,29.709,,
1429A,106.513,29.389,,
1430A,106.591,29.4272,,
1431A,103.97275,30.72358333,,
1432A,104.176,30.6872,,
1433A,104.079,30.5706,,
1434A,104.1113889,30.63,,
1435A,104.074,30.685,,
1436A,,,,
1437A,104.054,30.6578,,
1438A,103.613,31.0283,,
1439A,106.6856,26.6029,,
1440A,106.6971,26.5689,,
1441A,106.6243,26.6266,,
1442A,106.7487,26.6343,,
1443A,106.6554,26.4364,,
1444A,106.6948,26.5155,,
1445A,106.7105,26.6009,,
1446A,106.7164,26.5697,,
1447A,106.6867,26.5495,,
1449A,102.743,25.0124,,
1450A,102.821,24.8885,,
1451A,102.625,24.9624,,
1452A,102.728,25.0836,,
1453A,102.722,25.0405,,
1454A,102.681,25.067,,
1455A,102.638,25.0359,,
1456A,91.1319,29.6514,,
1457A,91.1221,29.6747,,
1458A,91.0874,29.6475,,
1459A,91.1774,29.6541,,
1460A,90.9798,29.6588,,
1461A,91.0834,29.6292,,
1462A,108.882,34.2749,,
1463A,108.993,34.2629,,
1464A,109.06,34.2572,,
1465A,108.94,34.2324,,
1466A,108.954,34.2713,,
1467A,108.883,34.2303,,
1468A,108.935,34.3474,,
1469A,108.906,34.1546,,
1470A,109.2,34.6575,,
1471A,109.2186,34.3731,,
1472A,108.869,34.378,,
1473A,108.985,34.1978,,
1474A,109.043,34.3274,,
1475A,103.712,36.0756,,
1476A,103.631,36.1031,,
1477A,104.148,35.94,,
1478A,103.841,36.0725,,
1479A,103.831,36.0464,,
1480A,101.748,36.6428,,
1481A,101.749,36.6922,,
1482A,101.834,36.5819,,
1483A,101.524,36.6867,,
1484A,105.9512,38.6016,,
1485A,106.2682,38.4744,,
1486A,106.217,38.4536,,
1487A,106.0715,38.4858,,
1488A,106.2328,38.4975,,
1489A,106.1358,38.5036,,
1490A,87.5801,43.8303,,
1491A,87.6046,43.768,,
1492A,87.4754,43.9469,,
1493A,87.5525,43.8711,,
1494A,87.6432,43.831,,
1495A,87.4171,43.8729,,
1496A,87.6444,43.962,,
1508A,112.9433,27.8614,,
1511A,112.9118,27.8403,,
1512A,112.8937,27.8728,,
1513A,112.9227,27.8159,,
1514A,112.9074,27.9119,,
1515A,113.135,27.8244,,
1518A,113.095,27.8867,,
1519A,113.167,27.8667,,
1520A,113.143,27.8381,,
1524A,113.13,27.8528,,
1552A,106.805,26.3003,,
1559A,113.251,27.8336,,
1562A,113.0048,27.9153,,
1564A,112.4876,27.9164,,
1585A,109.8756,40.6532,,
1586A,109.8104,40.6575,,
1587A,110.0067,40.5905,,
1588A,109.8538,40.6821,,
1589A,109.8654,40.6288,,
1590A,110.0377,40.5546,,
1591A,110.0023,39.8129,,
1592A,109.9486,39.8261,,
1593A,109.7736,39.5986,,
1594A,109.8119,39.5989,,
1595A,109.9734,39.7884,,
1596A,122.2414,40.6592,,
1597A,122.2703,40.7094,,
1598A,122.215,40.6511,,
1599A,122.1658,40.6789,,
